Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 2 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 строка 3- пуста.
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 4 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 5 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 1 строка 9- пуста.
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 6 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 7 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 8 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 9 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 10 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 1 на 11 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 1 на 12 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 1 на 13 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 1 на 14 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 1 на 15 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 11 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 12 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 13 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 14 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 15 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 1 на 16 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 16 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 17 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 18 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 19 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 20 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 21 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 22 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 23 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 24 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 25 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 26 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 27 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 28 строке - строка, не прошедшая сортировку
Wed Aug 17 13:29:57 MSK 2022 В файле 2 на 29 строке - строка, не прошедшая сортировку
